Publication Name,Publisher City,Publisher State,Start Date,End Date,Language,Subjects,Full Loc,Latitude,Longitude,coords
"Academic Register, The",Ellicotts Mills,MD,10/1/1849,10/1/1849,English,Education--Periodicals.,"Ellicotts Mills, MD",39.2673283,-76.7983067,"39.2673283, -76.7983067"
"Academic Star, The",East Greenwich,RI,4/1/1847,4/1/1847,English,College student periodicals.Religious periodicals.,"East Greenwich, RI",41.6342619,-71.5130445,"41.6342619, -71.5130445"
"Acorn, The",Skaneateles,NY,1/1/1839,1/1/1840,English,Education--Periodicals.,"Skaneateles, NY",42.947011,-76.4291017,"42.947011, -76.4291017"
"Address Delivered before the Minnesota Historical Society at its Sixth Anniversary, February 1, 1856",St. Paul,MN,1/14/1850,1/19/1852,English,Minnesota--History.,"St. Paul, MN",44.9537029,-93.0899578,"44.9537029, -93.0899578"
"Adelphian, The",North Bridgewater,MA,10/11/1850,11/8/1851,English,Student periodicals. Ornate types (Type evidence). Printed stiffened paper bindings (Binding).,"North Bridgewater, MA",41.9903519,-70.9750541,"41.9903519, -70.9750541"
Advent Harbinger,Rochester,NY,6/29/1847,12/16/1848,English,Adventists--Periodicals.,"Rochester, NY",43.1565779,-77.6088465,"43.1565779, -77.6088465"
Advent Harbinger and Bible Advocate,Rochester,NY,12/23/1848,12/25/1852,English,Adventists--Periodicals.,"Rochester, NY",43.1565779,-77.6088465,"43.1565779, -77.6088465"
Advent Herald,Boston,MA,2/11/1846,12/25/1852,English,Adventists--Periodicals.,"Boston, MA",42.3600825,-71.0588801,"42.3600825, -71.0588801"
"Advent Message to the Daughters of Zion, The",Boston,MA,5/1/1844,9/1/1844,English,Adventists--Periodicals.Women in the printing and publishing trades.,"Boston, MA",42.3600825,-71.0588801,"42.3600825, -71.0588801"
"Advent Review and Sabbath Herald, The",Saratoga Springs,NY,8/5/1851,12/23/1852,English,Adventists--Periodicals.,"Saratoga Springs, NY",43.0831301,-73.7845651,"43.0831301, -73.7845651"
"Advent Shield and Review, The",Boston,MA,5/1/1844,4/1/1845,English,Adventists--Periodicals.,"Boston, MA",42.3600825,-71.0588801,"42.3600825, -71.0588801"
Advent Watchman,Hartford,CT,9/10/1850,7/23/1851,English,Adventists--Periodicals.,"Hartford, CT",41.7658043,-72.6733723,"41.7658043, -72.6733723"
"Adventist, The",Syracuse,NY,10/1/1849,10/1/1849,English,Adventists--Periodicals.,"Syracuse, NY",43.0481221,-76.1474244,"43.0481221, -76.1474244"
Advertiser and Signal,Boston,MA,9/25/1852,9/25/1852,English,Advertising periodicals.,"Boston, MA",42.3600825,-71.0588801,"42.3600825, -71.0588801"
Advocate,Prospect,CT,6/24/1847,6/24/1847,English,Adventists--Periodicals.,"Prospect, CT",41.5023192,-72.9787163,"41.5023192, -72.9787163"
Advocate of Freedom,Brunswick,ME,3/8/1838,2/1/1840,English,Antislavery periodicals.,"Brunswick, ME",43.9140162,-69.966996,"43.9140162, -69.966996"
Advocate of Holiness and Enquirer After Truth,Worcester,MA,4/26/1850,4/26/1850,English,Adventists--Periodicals.,"Worcester, MA",42.2625932,-71.8022934,"42.2625932, -71.8022934"
Advocate of Holiness and the Speedy Coming of the Lord!,New Haven,CT,7/3/1850,4/16/1851,English,Adventists--Periodicals.,"New Haven, CT",41.308274,-72.9278835,"41.308274, -72.9278835"
Advocate of Moral Reform,New York,NY,11/15/1838,12/15/1840,English,Reform periodicals. Women--Social and moral questions--Periodicals.,"New York, NY",40.7127753,-74.0059728,"40.7127753, -74.0059728"
